model_family,checkpoint,loading_precision,dataset,batch_size,method,seed,n_shot,sample,accuracy
GIT,microsoft/git-base-vqav2,FP32,ai2d,2,vision_language_modeling,0,0,100,0.2500
GIT,microsoft/git-base-vqav2,FP32,ai2d,2,vision_language_modeling,1,0,100,0.2400
GIT,microsoft/git-base-vqav2,FP32,ai2d,2,vision_language_modeling,2,0,100,0.2700
GIT,microsoft/git-base-vqav2,FP32,ai2d,2,vision_language_modeling,3,0,100,0.2300
GIT,microsoft/git-base-vqav2,FP32,ai2d,2,vision_language_modeling,4,0,100,0.2800
