model_family,checkpoint,loading_precision,dataset,batch_size,method,seed,n_shot,sample,accuracy
BLIP2-OPT,Salesforce/blip2-opt-2.7b,FP16,scienceqa,2,calibration,0,0,100,0.3400
BLIP2-OPT,Salesforce/blip2-opt-2.7b,BF16,scienceqa,2,calibration,0,0,100,0.2600
BLIP2-T5,Salesforce/blip2-flan-t5-xl,FP16,scienceqa,2,calibration,0,0,100,0.3500
BLIP2-OPT,Salesforce/blip2-opt-2.7b,FP16,ai2d,2,calibration,0,0,100,0.2500
PaliGemma,google/paligemma-3b-ft-ai2d-448,FP16,ai2d,2,calibration,0,0,100,0.2500
PaliGemma,google/paligemma-3b-ft-ai2d-448,FP16,ai2d,2,calibration,0,0,100,0.2500
GIT,microsoft/git-base-vqav2,FP32,ai2d,2,calibration,0,0,100,0.2600
